Bagaimana sistem penilaian di SMK?,"Penilaian terdiri dari nilai teori, praktik, tugas, dan ujian kompetensi/ujian sekolah yang menilai keterampilan kejuruan dan pengetahuan umum."
Apakah ada layanan bimbingan konseling karir?,"Tentu saja ada, layanan BK (bimbingan konseling) yang membantu siswa dengan orientasi karir, persiapan kerja, dan pendaftaran lanjutan."
Bagaimana peran orang tua di sekolah?,"Orang tua dapat terlibat lewat pertemuan wali murid, laporan perkembangan, serta partisipasi di kegiatan sekolah ketika diperlukan."
Bagaimana kebijakan seragam di SMK?,"Sekolah menerapkan aturan seragam yang harus dipatuhi siswa. Rincian seragam (“Senin - Selasa : Putih Abu-abu”, “Rabu : Batik Telkom”, “Kamis : kejuruan SMK”, “Jumat : Pramuka”) untuk info lebih lanjut tersedia di panduan sekolah."
Apa visi dan misi SMK Telkom Lampung?,"Visi dan misi sekolah bersifat institusional dan dapat berubah/diterjemahkan berbeda. Visi : “Menjadi SMK yang Unggul dan Berkarakter di Bidang Teknologi Informasi dan Ekonomi Kreatif dalam Nuansa yang Religius“ dan Misi : Menyelenggarakan pendidikan dan pelatihan yang berkualitas di bidang
Teknologi Informasi dan ekonomi kretif.
Menumbuhkan dan menerapkan nilai keimanan, ketaqwaan, karakter, kejujuran, kedisiplinan, kreatifitas, dan kolaborasi.
Memberikan pelayanan terbaik kepada para siswa – siswi, orang tua/wali dan stake holder lainnya yang sejalan dengan Core Values AKHLAK Telkom Group.
Mengembangkan keterampilan abad 21, budaya kerja dan keterampilan hidup sebagai bekal berkarir di masa depan.
Melatih semangat berwirausaha untuk dapat memenuhi kebutuhan hidup serta kemandirian dalam berkarya."
Bagaimana prosedur pindah sekolah (transfer) ke SMK ini?,"Prosedur umum: ajukan permohonan ke tata usaha, lengkapi berkas akademik dan administrasi, serta ikuti proses verifikasi. Detail prosedur tanyakan langsung ke sekolah."
Apakah ada program magang atau kerja sama industri?,"Ya, Sekolah memiliki kerja sama dengan perusahaan untuk magang, PKL, dan penempatan kerja siswa."
Berapa lama masa pendidikan di SMK?,Masa pendidikan formal di SMK umumnya 3 tahun (kelas X–XII).
Apakah lulusan SMK bisa melanjutkan kuliah?,"Ya, lulusan SMK dapat melanjutkan ke perguruan tinggi (D1/D3/S1) atau memilih pendidikan vokasi/politeknik."
Bagaimana sistem ujian kompetensi kejuruan?,Ujian kompetensi biasanya berupa tes praktik yang diselenggarakan oleh sekolah atau lembaga sertifikasi untuk menilai keterampilan sesuai kompetensi kejuruan.
Apakah ada biaya bulanan atau SPP?,"Ya, SMK Telkom Lampung menerapkan biaya bulanan atau SPP (Sumbangan Pembinaan Pendidikan) bagi siswanya. Berdasarkan informasi terkini (2025), biaya SPP bulanan berkisar antara Rp 250.000 hingga Rp 325.000."
Bagaimana cara melihat pengumuman resmi sekolah?,"Pengumuman biasanya dipasang di website resmi, papan informasi lokal, dan/atau akun media sosial resmi sekolah."
Apa saja lomba yang sering diikuti siswa?,"Siswa sering mengikuti lomba bidang TIK seperti kompetisi programming, LKS (lomba kompetensi siswa), desain multimedia, dan robotik. Tidak hanya di bidang TIK saja dari seluruh Ekstrakurikuler pasti ada"
Bagaimana kebijakan keamanan dan keselamatan di laboratorium?,"Sekolah menerapkan SOP keselamatan lab: penggunaan alat pelindung, pengawasan guru/pembimbing, dan aturan penggunaan peralatan."
Bagaimana cara menjadi guru di SMK Telkom Lampung?,"Umumnya dibutuhkan kualifikasi S1 (Pendidikan/teknik terkait), sertifikasi pendidik jika berlaku, serta mengikuti seleksi penerimaan tenaga pendidik."
Apakah sekolah menerima donasi atau kerja sama masyarakat?,"Sekolah membuka kemungkinan kerja sama/kemitraan; untuk donasi atau program CSR, hubungi bagian pengembangan atau kepala sekolah."
Bagaimana prosedur pengaduan atau keluhan terkait sekolah?,Ajukan pengaduan ke tata usaha atau melalui sistem pengaduan resmi sekolah; lengkapi informasi dan bukti pendukung.
Apa itu PKL?,PKL (Praktik Kerja Lapangan) adalah program magang yang memberi pengalaman kerja praktis di perusahaan mitra selama masa studi.
Apa tips persiapan untuk mendaftar ke SMK Telkom Lampung?,"Perkuat dasar TIK (mis. dasar komputer), siapkan dokumen administratif, latihan wawancara, dan pelajari informasi jurusan yang diminati."
Apakah tersedia kursus tambahan di luar jam pelajaran?,"Ya, SMK Telkom Lampung menyediakan kursus tambahan atau program pengayaan seperti kursus bahasa, sertifikasi, atau bimbingan belajar, untuk informasi lebih lanjut terkait kursus tambahan bisa datang langsung ke Sekolah."
Bagaimana cara meminta surat keterangan lulus atau dokumen resmi?,"Setelah kelulusan, ajukan permintaan surat keterangan ke bagian akademik/tata usaha dengan melengkapi persyaratan administrasi."
Apakah ada layanan antar-jemput siswa?,Belum Ada untuk saat ini tepat nya di tahun ajaran (2025/2026).
Bagaimana cara memperbarui data siswa jika terjadi perubahan?,Perbarui data melalui tata usaha dengan membawa dokumen pendukung (mis. surat keterangan perubahan alamat).
Bagaimana sistem beasiswa prestasi di sekolah?,"Sistem beasiswa prestasi di SMK Telkom Lampung yang merupakan bagian dari Telkom Schools, umumnya mencakup apresiasi bagi siswa berprestasi melalui jalur internal dan koneksi ke pendidikan tinggi (Telkom University)."
Apa perbedaan SMK Telkom dengan SMK lain?,Fokus SMK Telkom biasanya lebih pada kompetensi TIK dan peluang kerja sama dengan industri telekomunikasi/ICT.
Apakah ada pelatihan sertifikasi (mis. Cisco) di sekolah?,Beberapa jurusan memberikan pelatihan yang mempersiapkan siswa untuk mengikuti sertifikasi industri; cek program yang tersedia di sekolah.
Apakah tersedia kursus bahasa Inggris untuk siswa?,Banyak sekolah menyediakan penguatan bahasa Inggris sebagai bagian dari pengayaan atau ekstrakurikuler.
Bagaimana cara siswa mengikuti lomba atau kompetisi eksternal?,"Biasanya siswa mendaftar melalui pembimbing ekstrakurikuler atau koordinator bidang, dan mengikuti seleksi internal jika diperlukan."
Siapa yang harus dihubungi jika ada keadaan darurat di sekolah?,"Hubungi nomor darurat sekolah atau tata usaha, 0811 7970 1215."
Bagaimana cara memberikan masukan untuk perbaikan sekolah?,"Sampaikan masukan melalui pertemuan wali murid, formulir masukan/resmi, atau hubungi bagian terkait di sekolah."
